Mfg#,Upc#,Case,GTIN  ,Description,Uom,Pack,Size,Category,Customer Price,Qty Available
22600,94752,94752,022600947523,TRJN STIMULATIONS ULTRA RIBBED                                   ,CS,48,12 CT       ,Grocery- other                ,$197.51,1
22600,95302,95302,022600953029,TRJN PLEASURE PACK                                               ,CS,48,12 CT       ,Grocery- other                ,$234.82,11
22600,95321,95321,022600953210,TRJN PLEASURE PACK MIX                                           ,CS,48,3 CT        ,Grocery- other                ,$70.15,32
22600,95705,95705,022600957058,TRJN BARESKIN CONDOM                                             ,CS,48,3 CT        ,Grocery- other                ,$92.54,66
22600,97452,97452,322600974520,TRJN HER PLSRE SENS SPRMCDL                                      ,CS,48,12 CT       ,Grocery- other                ,$238.80,5
22700,06248,06248,022700062485,COVER GL PRO BRW ENH MDNT BLK                                    ,CS,72,.06 OZ      ,Grocery- other                ,$154.23,14
22700,09774,09774,022700097746,CG LASH BLAST MASCARA                                            ,CS,72,1 CT        ,Grocery- other                ,$382.08,22
22700,09775,09775,022700097753,COVERGIRL LASH BLAST BLACK                                       ,CS,72,1 CT        ,Grocery- other                ,$328.35,7
22700,09846,09846,022700098460,TB PRSD PWD TR LIG                                               ,CS,72,1 CT        ,Grocery- other                ,$348.25,18
22700,10306,10306,022700103065,COVER GL PRO-LIN PEN CHARCOAL                                    ,CS,72,.03 OZ      ,Grocery- other                ,$174.13,4
22700,10628,10628,022700106288,SMTHRS CNCLR LGT                                                 ,CS,72,.14 OZ      ,Grocery- other                ,$273.63,7
22700,12208,12208,022700122080,CG CLEAN PWDER CREAMY NEUTRAL                                    ,CS,72,.39 OZ      ,Grocery- other                ,$273.63,39
22700,12219,12219,022700122196,CG CLEAN PWDR CREAMY BEIGE                                       ,CS,72,.39 OZ      ,Grocery- other                ,$273.63,42
22700,12286,12286,022700122868,CG CLEAN OC PP BEIGE                                             ,CS,72,.35 OZ      ,Grocery- other                ,$268.65,9
22700,18558,18558,022700185580,COVERGIRL INVIS CONCEALER FAIR                                   ,CS,72,.34 OZ      ,Grocery- other                ,$173.13,2
22700,44222,44222,022700442225,CVRGRL TRNSLCNT LIGHT POWDER                                     ,CS,72,.7 OZ       ,Grocery- other                ,$203.98,23
22700,44230,44230,022700442300,CVRGRL TRNSLCNT MED LOOSW PWDR                                   ,CS,72,.7 OZ       ,Grocery- other                ,$208.95,73
22700,46976,46976,022700469765,PRO RMKBL MS WP VB                                               ,CS,72,.3 OZ       ,Grocery- other                ,$199.00,18
22700,57762,57762,022700577620,CVRGRL PERFECT POINT PENCIL                                      ,CS,72,.006 OZ     ,Grocery- other                ,$243.78,20
22700,63222,63222,022700632220,CVRGRL BLK ONYX PLUS EYELINER                                    ,CS,72,.008 OZ     ,Grocery- other                ,$218.90,18
22700,63256,63256,022700632565,CVRGRL CHARCOAL EYE PENCIL                                       ,CS,72,.008 OZ     ,Grocery- other                ,$213.93,4
